Position Y,Position X,Position Z
106333.41,386313.73,8.45
106280.08,386317.8,8.44
106506.51,386319.55,8.43
106452.14,386310.18,8.46
106308.58,386306.61,8.51
106519.47,386304.94,8.5
106461.78,386306.2,8.49
106503.59,386306.98,8.41
106562.35,386309.16,8.27
106474.17,386314.31,8.27
106249.08,386312.59,8.22
106617.79,386322.46,8.27
106292.94,386309.7,8.34
106235.32,386310.42,8.33
106466.3,386321.68,8.28
106598.82,386315.28,8.52
106393.12,386322.03,8.64
106589.03,386311.84,8.64
106420.74,386311.08,8.63
106236.58,386320.66,8.67
106311.82,386325.32,8.76
106379.14,386301.57,8.75
105560,386315,8.73
105560,386325,8.61
106572.55,386306.4,8.54
106432.39,386314.07,8.54
106553.53,386303.79,8.52
106265.39,386324.42,8.54
106443.18,386320.85,8.59
106300.6,386316.14,8.59
106366.26,386317.43,8.56
106850,386420,5.49
106598.38,386486.94,8.54
106568.38,386496.94,8.54
106610,386500,8.52
106590.38,386480.94,8.54
106365,386500,8.64
106365,386480,8.59
106576.38,386484.94,8.54
106300,386500,8.51
106670,386500,8.46
106693.71,386478.4,8.45
106606.38,386480.94,8.44
106720,386490,8.47
106680,386500,8.51
106450.32,386483.9,8.49
106657.58,386488.1,8.49
106290,386495,8.64
106285,386485,8.82
106371.71,386490.45,8.81
106270,386500,8.79
106614.38,386486.94,8.84
106426.43,386487.23,8.91
106350,386485,8.86
106315,386500,8.85
106280,386495,8.79
106416.34,386499.88,8.69
106275,386485,8.68
106325,386485,8.67
106438.66,386476.03,8.69
106330,386500,8.79
106345,386500,8.78
106335,386480,8.73
106624.32,386488.7,8.4
106705.22,386495.93,7.98
105640,386480,7.96
106558.38,386494.94,7.94
106657.79,386477.88,8.03
106639.25,386492.48,8.16
106564.38,386476.94,8.04
106411.51,386483.45,8.04
106760,386500,7.94
106892.36,386496.65,7.8
106770,386490,7.79
106730,386500,7.77
106892.82,386484.38,7.8
106730,386480,7.91
106566.38,386486.94,7.84
106539.28,386497.27,7.8
106646.45,386480.99,8.17
106590.38,386492.94,8.34
106681.47,386484.81,8.33
106380.38,386498.09,8.33
106442.78,386494.46,8.37
106460.61,386476.74,8.39
106670,386490,8.39
105650,386490,8.38
106391.49,386492.45,8.3
106720,386500,8.25
106670,386480,8.22
106658.3,386499.75,8.22
106706.14,386479.69,8.26
106629.32,386498.63,8.29
106698.62,386487.32,8.29
106632.08,386478.59,8.27
105797.52,386482.61,11.15
106220.01,386479.99,11.15
105805.39,386495.9,11.03
105773.21,386495.4,11.24
105919.44,386498.69,11.36
105785,386500,11.28
106175,386500,11.24
106210,386480,10.92
106215,386490,10.78
105762.04,386484.03,10.78
106240,386490,10.66
106200,386485,10.78
106245,386480,10.91
106230,386490,10.8
106190,386495,10.78
106155,386479.99,11.37
105790,386490,11.63
106012.39,386488.6,11.62
106023.94,386491.16,11.62
105917.19,386477.13,11.63
